Web Search interest: cry
Worldwide; Apr 2010 - Mar 2013

Interest over time
Week,cry
Saudi Arabia,14
Japan,9
China,7


Top cities for cry
City,cry
Manila (Philippines),100
Ho Chi Minh City (Vietnam),58
Hanoi (Vietnam),58
Singapore (Singapore),50
Kuala Lumpur (Malaysia),46
Atlanta (United States),42
Los Angeles (United States),41
Dallas (United States),40
New York (United States),40
Toronto (Canada),39
Chicago (United States),39
Houston (United States),38
Bangkok (Thailand),37
Moscow (Russia),37
Santiago (Chile),35



Top searches for cry
cry cry,100
far cry,25
far cry 3,15
devil,15
devil may cry,15
cry lyrics,10
i cry,10
dont cry,5
far cry 2,5
cry baby cry,5
i cry lyrics,0
how to cry,0
song cry,0
cry for you,0
flo rida cry,0
flo rida,0
we cry,0
cry to me,0
dmc,0
dont cry lyrics,0
rihanna cry,0
angels cry,0
farcry,0
boys dont cry,0
far cry cheats,0
bob marley,0
far cry 1,0
dante,0
song cry lyrics,0
cry wolf,0
battle cry,0
cry of fear,0
justin timberlake,0
cry it out,0
first cry,0
a far cry,0
farcry 3,0
dont cry letra,0
devil my cry,0
cry me out,0
when doves cry,0
far cry 4,0
angels cry lyrics,0
t-ara cry cry,0
we cry lyrics,0
one last cry,0
cry face,0
cry baby lyrics,0
cry lyrics rihanna,0
far cry patch,0



Rising searches for cry
flo rida,Breakout
flo rida cry,Breakout
far cry 3,+1,450%
cry of fear,+1,100%
dmc,+450%
far cry 1,+90%
cry it out,+80%
first cry,+80%
how to cry,+80%
angels cry,+50%



