Web Search interest: pen head
Worldwide; Feb 2012 - Jan 2015

Interest over time
Week,pen head
2013-02-10 - 2013-02-16,66
2013-02-17 - 2013-02-23,74
2013-02-24 - 2013-03-02,71
2013-03-03 - 2013-03-09,95
2013-03-10 - 2013-03-16,65
2013-03-17 - 2013-03-23,69
2013-03-24 - 2013-03-30,65
2013-03-31 - 2013-04-06,67
2013-04-07 - 2013-04-13,67
2013-04-14 - 2013-04-20,59
2013-04-21 - 2013-04-27,68
2013-04-28 - 2013-05-04,67
2013-05-05 - 2013-05-11,79
2013-05-12 - 2013-05-18,90
2013-05-19 - 2013-05-25,69
2013-05-26 - 2013-06-01,73
2013-06-02 - 2013-06-08,70
2013-06-09 - 2013-06-15,70
2013-06-16 - 2013-06-22,70
2013-06-23 - 2013-06-29,68
2013-06-30 - 2013-07-06,66
2013-07-07 - 2013-07-13,83
2013-07-14 - 2013-07-20,65
2013-07-21 - 2013-07-27,65
2013-07-28 - 2013-08-03,66
2013-08-04 - 2013-08-10,72
2013-08-11 - 2013-08-17,78
2013-08-18 - 2013-08-24,73
2013-08-25 - 2013-08-31,72
2013-09-01 - 2013-09-07,75
2013-09-08 - 2013-09-14,60
2013-09-15 - 2013-09-21,69
2013-09-22 - 2013-09-28,58
2013-09-29 - 2013-10-05,68
2013-10-06 - 2013-10-12,71
2013-10-13 - 2013-10-19,69
2013-10-20 - 2013-10-26,61
2013-10-27 - 2013-11-02,72
2013-11-03 - 2013-11-09,60
2013-11-10 - 2013-11-16,90
2013-11-17 - 2013-11-23,74
2013-11-24 - 2013-11-30,65
2013-12-01 - 2013-12-07,75
2013-12-08 - 2013-12-14,79
2013-12-15 - 2013-12-21,75
2013-12-22 - 2013-12-28,88
2013-12-29 - 2014-01-04,78
2014-01-05 - 2014-01-11,68
2014-01-12 - 2014-01-18,56
2014-01-19 - 2014-01-25,91
2014-01-26 - 2014-02-01,70
2014-02-02 - 2014-02-08,63
2014-02-09 - 2014-02-15,79
2014-02-16 - 2014-02-22,77
2014-02-23 - 2014-03-01,65
2014-03-02 - 2014-03-08,75
2014-03-09 - 2014-03-15,90
2014-03-16 - 2014-03-22,88
2014-03-23 - 2014-03-29,81
2014-03-30 - 2014-04-05,63
2014-04-06 - 2014-04-12,69
2014-04-13 - 2014-04-19,74
2014-04-20 - 2014-04-26,63
2014-04-27 - 2014-05-03,72
2014-05-04 - 2014-05-10,90
2014-05-11 - 2014-05-17,74
2014-05-18 - 2014-05-24,68
2014-05-25 - 2014-05-31,74
2014-06-01 - 2014-06-07,72
2014-06-08 - 2014-06-14,80
2014-06-15 - 2014-06-21,73
2014-06-22 - 2014-06-28,84
2014-06-29 - 2014-07-05,69
2014-07-06 - 2014-07-12,77
2014-07-13 - 2014-07-19,87
2014-07-20 - 2014-07-26,74
2014-07-27 - 2014-08-02,59
2014-08-03 - 2014-08-09,94
2014-08-10 - 2014-08-16,67
2014-08-17 - 2014-08-23,70
2014-08-24 - 2014-08-30,82
2014-08-31 - 2014-09-06,68
2014-09-07 - 2014-09-13,73
2014-09-14 - 2014-09-20,66
2014-09-21 - 2014-09-27,72
2014-09-28 - 2014-10-04,100
2014-10-05 - 2014-10-11,62
2014-10-12 - 2014-10-18,98
2014-10-19 - 2014-10-25,96
2014-10-26 - 2014-11-01,69
2014-11-02 - 2014-11-08,65
2014-11-09 - 2014-11-15,77
2014-11-16 - 2014-11-22,66
2014-11-23 - 2014-11-29,76
2014-11-30 - 2014-12-06,64
2014-12-07 - 2014-12-13,84
2014-12-14 - 2014-12-20,60
2014-12-21 - 2014-12-27,66
2014-12-28 - 2015-01-03,67
2015-01-04 - 2015-01-10,82
2015-01-11 - 2015-01-17,61
2015-01-18 - 2015-01-24,79
2015-01-25 - 2015-01-31,75


Top regions for pen head
Region,pen head
United States,100





Top searches for pen head
head vape pen,100



Rising searches for pen head
head vape pen,Breakout



